MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
15_17.171	2.48834521747e-18	8.67157631233	253	4260	95	4418	2.66315789474
28_14.319	2.80637621479e-26	8.75134421757	365	4148	137	4376	2.66423357664
22_15.683	0.348813490786	11.0095197015	76	4437	64	4449	1.1875
38_11.298	0.1607081576	10.832407219	66	4447	50	4463	1.32
34_12.741	0.0937189684174	9.75358289497	83	4430	62	4451	1.33870967742
7_20.003	1.66917752422e-10	12.2083865619	142	4371	54	4459	2.62962962963
43_10.113	1.0	10.6109098462	151	4362	152	4361	0.993421052632
39_11.002	3.19425638699e-06	10.2998553074	161	4352	88	4425	1.82954545455
27_14.679	0.00531875083441	9.99282636469	115	4398	76	4437	1.51315789474
23_15.517	4.86623596849e-08	10.3203420428	192	4321	100	4413	1.92
42_10.182	0.00314070035635	9.73670100993	155	4358	107	4406	1.44859813084
26_14.84	0.0145027898807	10.6470409888	159	4354	118	4395	1.34745762712
5_20.942	0.516731338722	12.1064293687	63	4450	55	4458	1.14545454545
36_12.387	0.142780470532	11.3405497305	69	4444	52	4461	1.32692307692
2_27.541	1.82903539677e-17	10.8915977704	182	4331	55	4458	3.30909090909
17_17.144	9.92448010675e-14	10.1531303696	152	4361	49	4464	3.10204081633
46_9.165	1.02528351236e-17	9.79764278901	192	4321	60	4453	3.2
4_24.644	1.92690961888e-98	10.2456442525	537	3976	66	4447	8.13636363636
35_12.524	0.747529632194	11.733688716	81	4432	76	4437	1.06578947368
21_16.273	0.00455173891533	10.0074153688	96	4417	60	4453	1.6
3_26.258	5.65279487006e-31	13.6401997978	228	4285	46	4467	4.95652173913
0_37.201	9.98482480286e-269	11.5307835259	1130	3383	80	4433	14.125
1_33.645	1.19478060195e-179	10.2147013048	895	3618	97	4416	9.22680412371
13_18.063	8.23481820265e-08	10.3418968867	279	4234	168	4345	1.66071428571
12_18.339	0.207488120675	11.4613899627	80	4433	64	4449	1.25
8_19.342	1.31482558323e-21	10.8799216301	302	4211	114	4399	2.64912280702
9_19.333	4.85395491419e-06	11.5693865021	120	4393	59	4454	2.03389830508
45_9.836	0.00672340371448	10.460655365	139	4374	97	4416	1.43298969072
30_13.385	1.3012057735e-05	11.0553785863	387	4126	278	4235	1.39208633094
37_11.612	0.917453267993	10.6227920961	196	4317	193	4320	1.01554404145
6_20.52	2.70039777306e-20	10.6076558776	378	4135	170	4343	2.22352941176
16_17.162	0.282436467305	10.09578929	59	4454	47	4466	1.25531914894
25_15.462	2.044536368e-08	9.41918566961	123	4390	50	4463	2.46
40_10.709	0.283418358098	10.7474318394	108	4405	92	4421	1.17391304348
33_13.057	0.00142363097012	10.3954676035	189	4324	132	4381	1.43181818182
47_9.16	0.00391403232356	10.3704457642	84	4429	50	4463	1.68
20_16.405	0.0692260098567	11.9287318592	79	4434	57	4456	1.38596491228
31_13.353	9.00182292208e-14	10.4259801738	164	4349	56	4457	2.92857142857
49_7.406	0.790183133724	10.7067264141	187	4326	181	4332	1.03314917127
29_13.962	0.509562992236	10.104746488	61	4452	53	4460	1.15094339623
10_18.928	3.46937695171e-25	8.26698323519	267	4246	81	4432	3.2962962963
14_18.042	5.33498396637e-05	10.9594004857	116	4397	62	4451	1.87096774194
18_16.731	0.00243320057784	12.8255757469	105	4408	65	4448	1.61538461538
48_8.169	0.804028652657	9.7554001504	216	4297	210	4303	1.02857142857
32_13.092	3.10366617726e-20	8.48138719953	196	4317	55	4458	3.56363636364
19_16.527	2.44577640863e-08	10.1735089591	142	4371	63	4450	2.25396825397
11_18.458	0.00995766514862	10.2139248519	90	4423	58	4455	1.55172413793
44_10.089	0.953188002912	10.7958189883	151	4362	149	4364	1.01342281879
24_15.498	1.0	11.3400514248	48	4465	48	4465	1.0
41_10.676	1.0	10.1912692169	118	4395	117	4396	1.00854700855
